Href,Title,Subtitle,Authors,Publication_title,Year,DOI
https://link.springer.com/book/10.1007/978-3-030-93049-3,Artificial Intelligence,"First CAAI International Conference, CICAI 2021, Hangzhou, China, June 5–6, 2021, Proceedings, Part II","Lu Fang, Yiran Chen, Prof. Guangtao Zhai…",Lecture Notes in Computer Science,(2021),https://doi.org/10.1007/978-3-030-93049-3
https://link.springer.com/chapter/10.1007/978-1-4842-6774-5_4,Artificial Intelligence,,Volker Lang,Digital Fluency,(2021),
https://link.springer.com/chapter/10.1007/978-3-030-77584-1_11,Artificial Intelligence,,"Matthew N. O. Sadiku, Sarhan M. Musa",A Primer on Multiple Intelligences,(2021),
https://link.springer.com/chapter/10.1007/978-3-030-29761-9_6,Artificial Intelligence,,Sean Stein Smith,"Blockchain, Artificial Intelligence and Financial Services",(2020),
https://link.springer.com/chapter/10.1007/978-3-319-98213-7_18,Artificial Intelligence,,Yasser El Miedany,Rheumatology Teaching,(2019),
https://link.springer.com/chapter/10.1007/978-3-031-11331-4_4,Artificial Intelligence,,Fatih Demir,Innovation in the Public Sector,(2022),
https://link.springer.com/chapter/10.1007/978-981-32-9915-3_10,Artificial Intelligence,,"Eric Guérin, Orhun Aydin, Ali Mahdavi-Amiri",Manual of Digital Earth,(2020),
https://link.springer.com/chapter/10.1007/978-3-662-59815-3_7,Artificial Intelligence,,Klaus-Dieter Gronwald,Integrierte Business-Informationssysteme,(2020),
https://link.springer.com/chapter/10.1007/978-3-662-59811-5_7,Artificial Intelligence,,Klaus-Dieter Gronwald,Integrated Business Information Systems,(2020),
https://link.springer.com/referenceworkentry/10.1007/978-981-19-1550-5_54-2,Artificial Intelligence,,"Kirti Soni, Nishant Kumar, Anjali S. Nair…",Handbook of Metrology and Applications,,
https://link.springer.com/chapter/10.1007/978-3-658-03345-3_13,Artificial Intelligence,,Bernd W. Wirtz,Multi-Channel-Marketing,(2022),
https://link.springer.com/chapter/10.1007/978-94-017-2946-8_25,Artificial Intelligence,,Joseph Agassi,Science and Culture,(2003),
